,Date,Open,High,Low,Close,Adj Close,Volume,Name
0,2018-04-02,548.0,578.95,545.9,576.25,562.83,2823880,CIPLA
1,2018-04-03,572.0,578.35,568.8,570.3,557.01,2493190,CIPLA
2,2018-04-04,572.35,575.45,564.5,569.8,556.53,1852997,CIPLA
3,2018-04-05,574.0,578.55,558.35,560.35,547.3,2396864,CIPLA
4,2018-04-06,560.3,571.0,557.25,558.95,545.93,2420324,CIPLA
5,2018-04-09,565.9,565.9,555.5,556.75,543.78,1470765,CIPLA
6,2018-04-10,558.0,567.0,556.6,558.15,545.15,1591682,CIPLA
7,2018-04-11,560.7,564.0,558.5,561.5,548.42,1789789,CIPLA
8,2018-04-12,562.9,562.95,554.8,556.15,543.19,1309557,CIPLA
9,2018-04-13,557.55,561.15,552.55,555.5,542.56,1019158,CIPLA
10,2018-04-16,553.05,587.8,553.05,584.95,571.32,6741354,CIPLA
11,2018-04-17,585.55,588.35,575.7,579.95,566.44,2688507,CIPLA
12,2018-04-18,582.0,597.0,582.0,584.6,570.98,3853951,CIPLA
13,2018-04-19,584.25,592.0,583.05,584.4,570.79,1525419,CIPLA
14,2018-04-20,582.35,593.4,581.5,589.05,575.33,1641179,CIPLA
15,2018-04-23,576.0,601.75,576.0,600.15,586.17,3016500,CIPLA
16,2018-04-24,601.0,604.9,595.1,601.9,587.88,2782988,CIPLA
17,2018-04-25,600.5,600.5,586.2,593.05,579.24,1125208,CIPLA
18,2018-04-26,591.0,602.9,590.55,599.95,585.97,1503008,CIPLA
19,2018-04-27,602.0,607.0,593.0,599.85,585.88,1031376,CIPLA
20,2018-04-30,602.2,609.0,602.0,607.4,593.25,687828,CIPLA
21,2018-05-02,610.0,621.9,608.95,612.0,597.74,1862999,CIPLA
22,2018-05-03,613.0,613.1,597.0,609.3,595.11,999887,CIPLA
23,2018-05-04,612.1,612.45,595.5,597.0,583.09,925559,CIPLA
24,2018-05-07,598.6,600.1,585.0,591.05,577.28,1046885,CIPLA
25,2018-05-08,592.4,601.95,586.55,590.65,576.89,1039491,CIPLA
26,2018-05-09,591.4,596.0,585.55,588.0,574.3,652527,CIPLA
27,2018-05-10,594.0,594.6,572.5,575.5,562.09,2163326,CIPLA
28,2018-05-11,577.05,580.75,565.1,573.7,560.34,921890,CIPLA
29,2018-05-14,575.0,580.5,570.85,578.5,565.02,888370,CIPLA
30,2018-05-15,579.8,593.0,573.1,575.8,562.39,2049528,CIPLA
31,2018-05-16,575.0,575.0,546.0,559.9,546.86,4071898,CIPLA
32,2018-05-17,557.9,560.0,538.8,553.75,540.85,3719963,CIPLA
33,2018-05-18,555.0,556.0,530.0,533.05,520.63,1708157,CIPLA
34,2018-05-21,531.65,536.8,516.0,520.45,508.33,2013336,CIPLA
35,2018-05-22,524.8,531.1,507.2,524.0,511.79,3080285,CIPLA
36,2018-05-23,515.0,564.9,515.0,532.4,520.0,7413823,CIPLA
37,2018-05-24,536.5,544.55,530.0,533.5,521.07,1925524,CIPLA
38,2018-05-25,538.85,538.85,527.5,536.65,524.15,1525355,CIPLA
39,2018-05-28,534.0,548.3,534.0,539.5,526.93,1460566,CIPLA
40,2018-05-29,539.1,542.6,527.7,530.6,518.24,2656979,CIPLA
41,2018-05-30,529.1,529.1,519.55,525.6,513.36,2156315,CIPLA
42,2018-05-31,528.6,533.65,521.05,524.8,512.57,3539206,CIPLA
