,Date,Open,High,Low,Close,Adj Close,Volume,Name
0,2018-04-02,1315.0,1360.55,1315.0,1351.3,1246.39,708747,HINDUNILVR
1,2018-04-03,1347.1,1355.5,1338.65,1348.4,1243.71,979726,HINDUNILVR
2,2018-04-04,1348.0,1360.0,1339.55,1357.45,1252.06,912607,HINDUNILVR
3,2018-04-05,1380.0,1383.8,1362.7,1382.2,1274.89,588716,HINDUNILVR
4,2018-04-06,1381.95,1381.95,1362.45,1374.8,1268.06,633937,HINDUNILVR
5,2018-04-09,1367.95,1396.4,1367.5,1391.6,1283.56,923543,HINDUNILVR
6,2018-04-10,1398.8,1402.8,1387.0,1391.5,1283.47,969036,HINDUNILVR
7,2018-04-11,1393.0,1420.5,1385.55,1409.15,1299.74,1015714,HINDUNILVR
8,2018-04-12,1408.0,1416.0,1397.1,1412.75,1303.07,510556,HINDUNILVR
9,2018-04-13,1412.0,1413.85,1399.2,1410.55,1301.04,534981,HINDUNILVR
10,2018-04-16,1408.9,1423.2,1404.85,1419.5,1309.29,325041,HINDUNILVR
11,2018-04-17,1420.5,1450.5,1419.8,1445.55,1333.32,1176082,HINDUNILVR
12,2018-04-18,1450.5,1456.15,1440.0,1450.5,1337.88,765225,HINDUNILVR
13,2018-04-19,1451.4,1467.9,1448.35,1454.2,1341.3,682820,HINDUNILVR
14,2018-04-20,1442.0,1472.15,1441.2,1467.8,1353.84,674146,HINDUNILVR
15,2018-04-23,1471.0,1471.0,1450.0,1452.75,1339.96,395622,HINDUNILVR
16,2018-04-24,1464.0,1469.75,1445.7,1459.65,1346.32,1218174,HINDUNILVR
17,2018-04-25,1459.0,1463.0,1449.05,1459.2,1345.91,504777,HINDUNILVR
18,2018-04-26,1463.0,1498.6,1459.85,1491.25,1375.47,1321586,HINDUNILVR
19,2018-04-27,1491.25,1497.5,1469.9,1473.95,1359.51,818770,HINDUNILVR
20,2018-04-30,1475.0,1513.55,1474.55,1508.9,1391.75,612159,HINDUNILVR
21,2018-05-02,1512.0,1514.0,1464.65,1471.95,1357.67,1047583,HINDUNILVR
22,2018-05-03,1465.6,1468.95,1441.6,1452.2,1339.45,1243694,HINDUNILVR
23,2018-05-04,1455.0,1471.0,1447.65,1464.2,1350.52,586841,HINDUNILVR
24,2018-05-07,1472.4,1502.0,1465.0,1497.9,1381.6,887065,HINDUNILVR
25,2018-05-08,1494.0,1504.8,1478.5,1496.05,1379.9,906975,HINDUNILVR
26,2018-05-09,1496.9,1511.0,1486.25,1496.0,1379.85,759263,HINDUNILVR
27,2018-05-10,1494.0,1506.85,1480.0,1486.5,1371.09,932116,HINDUNILVR
28,2018-05-11,1489.0,1506.0,1485.1,1504.1,1387.32,591179,HINDUNILVR
29,2018-05-14,1515.0,1521.2,1494.05,1503.55,1386.82,1479249,HINDUNILVR
30,2018-05-15,1530.0,1542.4,1510.5,1515.5,1397.84,3239290,HINDUNILVR
31,2018-05-16,1509.0,1582.4,1506.6,1574.1,1451.89,2420630,HINDUNILVR
32,2018-05-17,1574.1,1596.4,1560.25,1569.8,1447.92,2082393,HINDUNILVR
33,2018-05-18,1563.3,1612.5,1563.3,1605.8,1481.13,2041908,HINDUNILVR
34,2018-05-21,1613.0,1619.4,1573.05,1578.65,1456.09,1510806,HINDUNILVR
35,2018-05-22,1565.75,1588.95,1558.2,1574.3,1452.07,1137466,HINDUNILVR
36,2018-05-23,1567.0,1586.3,1561.0,1568.1,1446.35,891664,HINDUNILVR
37,2018-05-24,1570.1,1571.65,1550.05,1561.1,1439.9,915840,HINDUNILVR
38,2018-05-25,1566.0,1591.25,1557.3,1575.75,1453.41,968884,HINDUNILVR
