,Date,Open,High,Low,Close,Adj Close,Volume,Name
0,2018-04-02,570.5,574.78,560.65,568.58,501.08,8072702,INFOSYS
1,2018-04-03,567.35,571.78,564.05,570.22,502.54,4077168,INFOSYS
2,2018-04-04,572.0,572.28,560.0,562.1,495.38,4813302,INFOSYS
3,2018-04-05,569.78,575.65,564.55,573.78,505.66,7763544,INFOSYS
4,2018-04-06,571.5,573.0,561.05,563.5,496.61,5937742,INFOSYS
5,2018-04-09,562.5,562.9,553.28,555.62,489.67,7202882,INFOSYS
6,2018-04-10,556.0,562.25,552.7,556.7,490.62,8926058,INFOSYS
7,2018-04-11,559.0,565.75,558.25,562.12,495.4,9025574,INFOSYS
8,2018-04-12,564.72,586.38,562.5,581.3,512.3,17044366,INFOSYS
9,2018-04-13,587.0,592.95,575.12,585.72,516.2,21227038,INFOSYS
10,2018-04-16,551.0,570.0,551.0,566.6,499.34,24745084,INFOSYS
11,2018-04-17,563.5,563.7,557.5,562.6,495.82,10397940,INFOSYS
12,2018-04-18,561.42,567.38,556.92,562.97,496.15,10430380,INFOSYS
13,2018-04-19,562.0,569.9,561.55,566.42,499.19,8525542,INFOSYS
14,2018-04-20,569.5,596.85,568.47,589.22,519.28,24272692,INFOSYS
15,2018-04-23,584.0,607.2,577.62,593.85,523.36,21830638,INFOSYS
16,2018-04-24,592.5,598.2,575.05,577.25,508.73,8526216,INFOSYS
17,2018-04-25,576.0,585.5,572.6,580.17,511.3,11594178,INFOSYS
18,2018-04-26,587.0,590.83,580.0,588.22,518.4,11302084,INFOSYS
19,2018-04-27,590.0,595.8,587.1,592.6,522.25,7663370,INFOSYS
20,2018-04-30,590.85,603.97,590.33,599.75,528.56,5511678,INFOSYS
21,2018-05-02,599.45,600.8,590.5,598.53,527.48,10295042,INFOSYS
22,2018-05-03,598.62,602.35,588.05,591.28,521.09,5332230,INFOSYS
23,2018-05-04,592.5,593.0,577.5,586.55,516.92,6023368,INFOSYS
24,2018-05-07,590.62,595.0,587.75,591.5,521.29,4638960,INFOSYS
25,2018-05-08,588.95,588.95,580.53,582.78,513.6,5718556,INFOSYS
26,2018-05-09,583.75,588.45,581.5,585.35,515.87,3783504,INFOSYS
27,2018-05-10,588.0,591.5,581.42,584.0,514.68,3182862,INFOSYS
28,2018-05-11,586.15,591.6,583.03,590.38,520.29,3311706,INFOSYS
29,2018-05-14,592.17,595.75,585.0,594.65,524.06,4432094,INFOSYS
30,2018-05-15,594.05,604.0,594.05,597.28,526.37,5611974,INFOSYS
31,2018-05-16,593.62,599.0,592.25,594.97,524.35,6205004,INFOSYS
32,2018-05-17,598.0,598.72,586.78,591.45,521.24,9519598,INFOSYS
33,2018-05-18,591.5,593.28,586.5,591.6,521.37,7139660,INFOSYS
34,2018-05-21,589.78,594.2,585.0,589.75,519.74,8475320,INFOSYS
35,2018-05-22,587.5,599.0,586.95,596.92,526.07,5636804,INFOSYS
36,2018-05-23,597.5,603.83,590.75,592.45,522.12,9538442,INFOSYS
37,2018-05-24,599.0,613.78,599.0,610.5,538.03,9740570,INFOSYS
38,2018-05-25,615.05,624.33,610.4,614.15,541.25,8901438,INFOSYS
39,2018-05-28,615.5,616.3,603.0,607.2,535.12,5739794,INFOSYS
40,2018-05-29,607.03,613.28,603.1,608.35,536.14,3388934,INFOSYS
41,2018-05-30,608.5,614.38,602.8,605.85,533.93,6323066,INFOSYS
42,2018-05-31,605.85,621.0,605.12,615.9,542.79,19720340,INFOSYS
43,2018-06-01,615.2,623.12,608.6,610.4,537.94,4998356,INFOSYS
44,2018-06-04,610.55,621.5,606.0,619.7,546.14,4270156,INFOSYS
45,2018-06-05,621.0,621.0,608.5,610.42,537.96,4710862,INFOSYS
46,2018-06-06,612.6,620.78,610.03,618.72,545.28,4038184,INFOSYS
47,2018-06-07,619.0,629.0,619.0,626.22,551.89,6676226,INFOSYS
48,2018-06-08,624.0,631.0,623.03,630.03,555.24,6459878,INFOSYS
49,2018-06-11,632.78,635.0,627.53,631.2,556.27,5171290,INFOSYS
50,2018-06-12,632.88,635.62,625.22,629.25,554.55,7839820,INFOSYS
51,2018-06-13,633.4,642.0,633.4,637.4,561.74,5766928,INFOSYS
52,2018-06-14,626.5,626.5,617.05,619.85,550.59,7598848,INFOSYS
53,2018-06-15,618.5,645.75,617.5,640.62,569.04,19957760,INFOSYS
54,2018-06-18,642.0,645.62,631.17,633.7,562.89,8214846,INFOSYS
55,2018-06-19,631.5,631.7,619.03,620.8,551.43,7545700,INFOSYS
56,2018-06-20,624.25,626.17,619.0,621.58,552.12,5371802,INFOSYS
57,2018-06-21,622.97,628.25,618.0,623.28,553.63,5798790,INFOSYS
58,2018-06-22,621.5,627.75,620.6,623.92,554.21,4343118,INFOSYS
59,2018-06-25,628.58,639.4,627.0,636.22,565.13,7731178,INFOSYS
60,2018-06-26,634.5,641.95,633.12,638.92,567.53,4483504,INFOSYS
61,2018-06-27,641.97,646.72,632.8,635.0,564.05,6952142,INFOSYS
62,2018-06-28,638.15,649.0,638.12,644.8,572.75,10996818,INFOSYS
63,2018-06-29,649.03,657.5,641.62,653.6,580.57,9966600,INFOSYS
64,2018-07-02,657.0,670.0,657.0,667.35,592.78,4830144,INFOSYS
65,2018-07-03,665.95,678.95,665.88,676.88,601.24,8127452,INFOSYS
66,2018-07-04,676.03,676.33,669.42,672.6,597.44,5025722,INFOSYS
67,2018-07-05,673.55,673.62,634.05,642.0,570.26,17019902,INFOSYS
68,2018-07-06,645.12,650.92,634.5,642.12,570.37,11215356,INFOSYS
69,2018-07-09,648.5,651.5,639.53,649.42,576.86,6644998,INFOSYS
70,2018-07-10,654.25,657.72,647.15,650.7,577.99,5974488,INFOSYS
71,2018-07-11,658.78,671.05,645.67,660.22,586.45,11899832,INFOSYS
72,2018-07-12,663.05,663.55,642.22,647.17,574.86,13272240,INFOSYS
73,2018-07-13,657.5,665.8,649.17,658.7,585.1,19496158,INFOSYS
74,2018-07-16,658.7,692.2,643.85,666.42,591.96,35344680,INFOSYS
75,2018-07-17,664.85,674.75,656.35,663.95,589.76,11161690,INFOSYS
76,2018-07-18,669.9,671.7,657.0,661.28,587.39,6919016,INFOSYS
77,2018-07-19,661.5,665.95,654.55,658.35,584.79,5118864,INFOSYS
78,2018-07-20,663.0,683.58,660.65,674.05,598.73,11705738,INFOSYS
79,2018-07-23,676.08,684.0,668.12,677.97,602.22,7675702,INFOSYS
80,2018-07-24,687.2,691.2,678.0,688.58,611.63,6172246,INFOSYS
81,2018-07-25,689.5,696.9,682.72,691.88,614.57,6936922,INFOSYS
