Date,CIPLA,HUL,INFY,RIL
02-04-2018,562.826416,1246.38623,501.081512,865.632141
03-04-2018,557.014954,1243.711426,502.535675,872.030273
04-04-2018,556.526672,1252.058594,495.375122,867.522522
05-04-2018,547.296753,1274.887085,505.664398,880.415649
06-04-2018,545.929382,1268.061768,496.608948,883.130005
09-04-2018,543.78064,1283.557251,489.668732,887.976929
10-04-2018,545.148071,1283.465088,490.616211,888.994873
11-04-2018,548.420044,1299.744629,495.397217,902.372742
12-04-2018,543.194641,1303.065186,512.296082,900.288452
13-04-2018,542.559692,1301.036255,516.19574,910.12793
16-04-2018,571.323792,1309.291016,499.340973,908.382996
17-04-2018,566.440247,1333.318726,495.815765,915.362671
18-04-2018,570.981873,1337.884399,496.146301,909.304077
19-04-2018,570.786621,1341.297119,499.186798,913.472412
20-04-2018,575.328247,1353.841309,519.280273,899.512939
23-04-2018,586.169678,1339.959595,523.356201,907.365173
24-04-2018,587.878845,1346.323975,508.726776,940.373474
25-04-2018,579.235046,1345.908813,511.304596,940.809631
26-04-2018,585.974426,1375.470581,518.398987,945.511353
27-04-2018,585.876648,1359.513794,522.2547,965.820435
30-04-2018,593.250793,1391.750366,528.555908,933.830078
02-05-2018,597.743713,1357.668945,527.476379,942.942383
03-05-2018,595.106506,1339.452515,521.087036,932.181946
04-05-2018,583.093079,1350.52063,516.922791,924.765991
07-05-2018,577.281555,1381.604248,521.285156,941.294434
08-05-2018,576.891052,1379.897949,513.596069,937.513672
09-05-2018,574.302673,1379.851563,515.865295,946.820007
10-05-2018,562.093933,1371.0896,514.675476,951.133911
11-05-2018,560.335876,1387.322998,520.293823,958.986023
14-05-2018,565.023987,1386.815674,524.061279,956.417114
15-05-2018,562.386841,1397.837891,526.374634,949.001221
16-05-2018,546.857239,1451.888306,524.347717,926.898682
17-05-2018,540.850586,1447.922119,521.241272,916.429077
18-05-2018,520.63269,1481.127075,521.373352,905.280945
21-05-2018,508.326263,1456.085083,519.743042,902.857361
22-05-2018,511.79361,1452.072754,526.066345,898.398193
23-05-2018,519.997925,1446.353882,522.122375,884.341736
24-05-2018,521.072205,1439.897461,538.029785,887.831604
25-05-2018,524.148926,1453.410034,541.24646,892.630188
28-05-2018,526.932434,1459.95874,535.121521,892.242371
29-05-2018,518.239807,1450.596802,536.13501,889.382629
30-05-2018,513.356262,1462.67981,533.931763,888.073914
31-05-2018,512.57489,1486.338501,542.788818,893.163391
01-06-2018,512.281921,1465.493042,537.94165,902.081848
04-06-2018,508.570465,1441.834229,546.137756,912.066772
05-06-2018,529.471924,1441.465454,537.963623,918.658752
06-06-2018,525.906921,1449.167236,545.278442,925.202209
07-06-2018,528.104492,1478.590454,551.888184,941.633728
08-06-2018,546.613098,1471.718994,555.237061,954.236023
11-06-2018,547.736267,1477.068726,556.272522,952.587952
12-06-2018,553.889465,1511.242188,554.554138,966.644348
13-06-2018,568.5401,1495.331421,561.736633,971.83075
14-06-2018,574.35144,1484.631958,550.588806,977.113953
15-06-2018,597.352844,1495.423462,569.042542,983.172791
18-06-2018,592.371704,1483.663574,562.891235,984.481506
19-06-2018,587.830078,1476.699707,551.432739,965.578003
20-06-2018,588.806763,1477.991211,552.121155,988.068237
21-06-2018,589.441589,1480.825439,553.631226,1000.379822
22-06-2018,601.406189,1494.439819,554.208679,981.52478
25-06-2018,597.157593,1500.991577,565.134155,973.721008
26-06-2018,585.53479,1507.125122,567.532471,949.001221
27-06-2018,588.269592,1495.55542,564.046143,942.075989
28-06-2018,586.902222,1489.468018,572.751038,921.690369
29-06-2018,602.285278,1525.154175,580.567749,948.51355
02-07-2018,602.627197,1527.291382,592.781311,936.9552
03-07-2018,625.481995,1527.338135,601.241943,947.391785
04-07-2018,614.249878,1557.540771,597.444763,965.729065
05-07-2018,611.95459,1568.692749,570.263855,940.759216
06-07-2018,598.231995,1559.678101,570.374939,953.487915
09-07-2018,608.389709,1572.317139,576.859192,972.556763
10-07-2018,617.326538,1567.763306,577.99176,1000.452759
11-07-2018,610.733765,1596.711914,586.452515,1013.230225
12-07-2018,618.596191,1619.20105,574.860596,1055.708374
13-07-2018,612.101196,1619.480103,585.0979,1072.728882
16-07-2018,606.485168,1627.472168,591.959778,1049.709717
17-07-2018,622.600769,1562.837769,589.761292,1065.46228
18-07-2018,612.784912,1527.57019,587.385193,1065.657349
19-07-2018,595.887817,1531.008667,584.786987,1077.654541
20-07-2018,611.222107,1538.815063,598.732666,1100.868652
23-07-2018,619.328735,1570.225952,602.219177,1092.724243
24-07-2018,612.736084,1550.013428,611.634766,1083.604492
25-07-2018,609.366455,1536.119873,614.565979,1087.70105
26-07-2018,613.224304,1551.918335,609.902649,1083.311646
27-07-2018,621.379883,1541.742432,609.991333,1102.039063
30-07-2018,619.524109,1569.34314,600.020691,1123.058716
31-07-2018,626.409851,1609.25769,606.282898,1156.807129
01-08-2018,624.261108,1611.720215,601.375305,1163.000732
02-08-2018,623.626282,1624.916748,601.197693,1139.591553
03-08-2018,626.116821,1638.391724,605.838684,1147.979858
06-08-2018,623.089111,1608.00293,604.306519,1163.244629
07-08-2018,614.787048,1607.770752,607.548645,1155.05127
08-08-2018,617.814941,1632.9552,605.239136,1187.726685
09-08-2018,604.727112,1630.213745,612.878174,1187.970581
10-08-2018,606.582825,1628.819702,615.320923,1174.55896
13-08-2018,616.642578,1606.655396,625.66925,1158.46521
14-08-2018,630.824524,1620.966919,625.469421,1180.801392
16-08-2018,636.320618,1614.601196,634.907166,1171.242798
17-08-2018,634.897583,1658.604248,635.26239,1174.120117
20-08-2018,631.904053,1651.4021,614.788025,1204.503418
21-08-2018,638.185364,1628.633789,614.654724,1216.50061
23-08-2018,645.742493,1647.499023,620.628418,1238.203003
24-08-2018,639.117737,1655.072876,612.145447,1246.05481
27-08-2018,647.361816,1665.62085,628.622681,1259.710205
28-08-2018,636.271484,1646.012207,632.753174,1286.533325
29-08-2018,631.560608,1631.74707,626.268921,1262.34375
30-08-2018,637.400208,1647.545532,628.977905,1243.079956
31-08-2018,649.864563,1654.283081,640.036865,1211.08728
03-09-2018,637.056702,1579.008057,636.994507,1198.894775
04-09-2018,631.953186,1534.493652,654.782043,1211.379883
05-09-2018,634.554016,1497.785522,648.342102,1196.797852
06-09-2018,649.815491,1494.904541,645.899414,1230.351074
07-09-2018,652.416382,1522.923706,650.918091,1247.127686
10-09-2018,655.65509,1496.484497,649.185913,1224.937622
11-09-2018,642.749084,1478.223267,652.250549,1207.234375
12-09-2018,644.270386,1511.864746,659.889587,1221.670166
14-09-2018,654.035767,1514.141602,651.717468,1222.304077
